00 05 09.9;+45 13 45; 6.70; 0.07
00 05 03.8;-00 30 11; 6.29; 1.10
00 05 20.1;-05 42 27; 4.61; 1.04
00 05 42.0;+13 23 46; 5.51; 0.90
00 06 16.0;+58 26 12; 5.96; 0.67
00 06 19.0;-49 04 30; 5.70; 0.52
00 06 26.5;+64 11 46; 5.59;-0.03
00 06 36.8;+29 01 17; 6.13; 0.75
00 06 50.1;-23 06 27; 6.18; 0.38
00 07 18.2;-17 23 11; 6.19; 0.14
00 07 44.1;-02 32 56; 6.43;-0.14
00 07 46.8;-22 30 32; 5.94; 0.14
00 08 03.5;-33 31 46; 5.68; 1.12
00 08 12.1;-02 26 52; 6.07; 1.38
00 08 23.3;+29 05 26; 2.06;-0.11
00 08 17.4;-08 49 26; 5.99; 1.04
00 08 41.0;+36 37 36; 6.19; 0.48
00 08 33.4;-17 34 39; 6.06; 1.67
00 08 52.2;+25 27 46; 6.23; 0.97
00 09 20.2;+79 42 53; 6.01; 0.19
00 09 10.7;+59 08 59; 2.27; 0.34
00 09 02.4;+18 12 43; 5.53; 1.04
00 09 02.4;-54 00 07; 6.33; 0.74
00 09 21.0;-27 59 16; 5.42; 0.42
00 09 24.7;-45 44 51; 3.88; 1.03
00 10 02.3;+11 08 44; 5.51;-0.07
00 10 19.3;+46 04 20; 5.03; 0.40
00 10 29.7;+57 09 56; 6.74;-0.08
00 10 18.8;-05 14 55; 5.84; 0.98
00 10 02.1;-82 13 26; 5.28; 1.05
00 10 42.8;-12 34 48; 5.85; 1.01
00 10 38.6;-73 13 28; 6.64; 0.37
00 11 15.9;-15 28 05; 4.89; 0.49
00 11 34.4;-27 47 59; 5.41; 1.34
00 11 44.0;-35 07 59; 5.25; 0.44
00 11 59.1;+48 09 09; 6.16; 1.45
00 12 10.0;-17 56 18; 5.25; 1.48
00 12 50.4;+37 41 36; 6.73;-0.13
00 13 14.2;+15 11 01; 2.83;-0.23
00 13 24.0;+26 59 14; 6.30; 0.65
00 13 30.8;+41 02 07; 5.72; 0.31
00 13 42.1;-26 01 19; 5.94; 1.55
00 13 44.2;-26 17 05; 6.31; 1.48
00 14 02.3;+33 12 22; 6.25;-0.01
00 14 36.2;+20 12 24; 4.80; 1.57
00 14 27.6;-07 46 50; 5.12; 1.62
00 13 19.4;-84 59 39; 5.77; 1.72
00 14 38.4;-18 55 58; 4.44; 1.66
00 14 56.1;+22 17 03; 6.24;-0.01
00 14 58.8;+08 49 15; 5.79; 0.31
00 14 54.5;-09 34 11; 5.75;-0.08
00 15 07.0;+31 32 09; 6.45;
00 15 10.6;+27 16 59; 6.35;-0.02
00 14 58.2;-34 54 16; 6.17; 1.34
00 16 14.0;+76 57 03; 6.35;-0.07
00 16 21.6;+43 35 41; 6.15; 0.05
00 16 08.9;-31 26 47; 5.67; 1.35
00 15 55.2;-75 54 41; 6.49; 1.00
00 16 34.1;+08 14 24; 6.11; 0.92
00 16 57.1;+61 32 00; 5.74; 0.88
00 16 42.5;-20 12 38; 6.47;-0.09
00 17 09.1;+47 56 51; 5.89;-0.09
00 17 05.5;+38 40 54; 4.61; 0.06
00 16 49.0;-78 46 50; 6.77; 0.46
00 17 43.0;+51 25 59; 6.14;-0.13
00 17 32.6;-19 03 04; 6.45; 0.37
00 17 47.7;+01 41 20; 6.17; 0.94
00 18 19.7;+36 47 07; 4.52; 0.05
00 18 17.2;+11 12 21; 6.05; 1.03
00 18 42.1;+43 47 28; 6.11;-0.08
00 18 38.3;+31 31 02; 5.87;-0.01
00 18 41.8;-08 03 10; 6.46; 0.68
00 18 42.6;-43 14 07; 6.33; 1.21
00 19 25.7;-08 49 26; 3.56; 1.22
00 19 41.6;+40 43 47; 6.33; 1.18
00 20 05.2;+48 51 55; 6.52;
00 20 04.3;-64 52 29; 4.23; 0.58
00 20 24.4;+30 56 09; 5.90;-0.10
00 20 45.5;+32 54 41; 5.79; 1.59
00 20 35.9;+08 11 25; 5.37; 1.34
00 20 54.5;+10 58 37; 6.56;
00 21 07.3;+37 58 07; 5.18; 0.42
00 20 39.0;-69 37 30; 5.51;-0.05
00 21 31.2;-28 58 54; 5.18; 1.00
00 21 46.3;-20 03 28; 5.12; 1.82
00 22 25.5;+13 28 57; 6.23; 1.22
00 21 28.6;-77 25 37; 5.97; 1.40
00 22 51.8;-12 12 34; 6.39; 0.66
00 23 12.6;-31 02 10; 6.55; 0.00
00 24 02.0;+38 34 38; 7.39; 1.97
00 24 15.6;+52 01 12; 5.57;-0.12
          ;         ;     ;
00 24 47.5;+61 49 52; 5.40; 0.00
00 24 29.7;-02 13 09; 6.07; 1.22
          ;         ;     ;
00 25 06.4;+53 02 49; 5.74;-0.06
00 25 24.2;+01 56 23; 5.77; 0.86
00 25 45.1;-77 15 15; 2.80; 0.62
00 26 17.0;-42 18 22; 2.39; 1.09
00 26 12.2;-43 40 48; 3.94; 0.17
00 26 37.4;-00 02 59; 6.19; 0.90
00 27 14.7;-25 32 50; 5.98; 1.03
00 28 02.9;+17 53 35; 5.06; 1.65
00 28 13.7;+44 23 40; 5.17; 0.03
00 27 55.7;-33 00 26; 4.81; 1.64
00 28 12.7;+16 26 42; 6.06; 1.58
00 28 20.1;+10 11 23; 6.04; 0.43
00 28 21.1;-20 20 06; 6.43; 0.59
00 28 26.4;-39 54 54; 5.43; 1.56
00 28 56.6;+36 54 00; 6.26; 0.92
00 28 43.1;-50 31 58; 6.26; 1.09
00 30 55.0;+77 01 10; 6.21; 0.84
00 30 19.9;+59 58 38; 5.94; 0.01
00 30 07.3;+29 45 06; 5.23; 0.24
00 29 51.9;-14 51 51; 6.14; 0.37
00 29 48.9;-32 07 00; 6.57; 1.34
00 30 02.4;-03 57 26; 5.72; 1.56
00 30 22.7;-23 47 16; 5.19; 0.12
00 30 27.8;-40 56 22; 6.19; 0.33
00 30 26.1;-48 12 54; 5.69; 0.35
00 31 25.3;+66 31 10; 6.18;-0.10
00 31 25.6;+33 34 54; 5.87; 1.14
00 31 46.4;+54 31 20; 4.73;-0.10
00 31 41.2;+52 50 22; 5.60; 1.15
00 31 25.0;-48 48 13; 4.77; 0.02
00 31 32.7;-62 57 29; 4.37;-0.07
00 31 33.6;-62 57 57; 4.54; 0.15
00 32 26.8;+43 29 41; 6.70;-0.01
00 33 19.3;+70 58 54; 6.42;-0.01
00 33 00.0;+62 55 54; 4.16; 0.14
00 32 35.5;+20 17 40; 5.38; 1.08
00 32 23.8;+06 57 20; 5.67; 0.00
00 32 34.5;+27 34 50; 6.67;
00 32 49.1;+28 16 49; 6.30; 1.00
00 33 10.4;+54 53 42; 5.93; 1.04
00 32 43.8;-63 01 52; 5.09; 0.04
00 34 24.9;+66 45 01; 6.48;-0.08
00 33 41.1;-29 33 30; 5.55; 1.27
00 33 23.3;-71 15 58; 6.13; 0.23
00 34 27.8;-52 22 23; 5.57; 0.47
00 34 55.3;+13 22 16; 6.40;
00 35 14.9;-03 35 34; 5.20; 0.56
00 35 32.8;-00 30 20; 5.93; 0.44
00 36 08.3;+54 10 07; 5.08;-0.11
00 35 54.7;+13 12 24; 6.41; 0.52
00 36 27.3;+60 19 34; 5.79; 0.29
00 35 41.1;-48 00 03; 5.51; 0.44
00 35 33.4;-54 49 19; 6.06; 1.01
00 36 20.0;+27 15 17; 6.50;-0.09
00 36 03.0;-14 58 25; 6.45; 1.06
00 36 06.9;-22 50 33; 6.06; 0.29
00 36 46.6;+44 29 19; 5.13; 1.60
00 36 58.3;+53 53 49; 3.66;-0.20
00 36 52.9;+33 43 10; 4.36;-0.14
00 36 47.3;+15 13 54; 5.89;-0.15
00 37 07.2;+24 00 51; 6.47;
00 37 21.1;+35 23 58; 5.48; 0.88
00 39 47.3;+82 29 38; 6.40; 0.55
00 37 20.7;-24 46 02; 5.57; 0.72
00 36 37.4;-65 07 29; 6.42; 1.26
00 37 30.5;+03 08 07; 6.39; 1.33
00 37 18.1;-54 23 39; 6.41; 1.00
00 38 33.3;+29 18 42; 4.37; 0.87
00 39 09.9;+49 21 16; 5.43; 1.64
00 39 19.7;+30 51 39; 3.27; 1.28
00 39 21.8;+21 15 02; 5.87; 0.85
00 39 55.6;+21 26 18; 5.36; 1.16
00 40 30.5;+56 32 14; 2.23; 1.17
00 38 40.8;-73 08 14; 6.85; 0.11
00 39 57.9;-33 57 42; 6.69; 0.51
00 39 52.0;-44 47 48; 6.01; 1.14
00 40 28.6;-16 31 01; 6.49; 0.92
00 40 32.9;-23 48 16; 6.14; 0.70
00 40 42.4;-04 21 07; 5.91; 1.10
00 41 07.2;+39 27 31; 5.33; 0.89
00 40 26.4;-59 27 16; 5.89; 0.55
00 42 03.4;+66 08 51; 5.83; 1.04
00 41 36.0;+24 37 45; 6.04; 0.26
00 42 03.9;+50 30 45; 4.80;-0.11
00 41 19.6;-46 05 06; 4.59; 0.97
00 42 31.1;+58 45 12; 6.17;-0.01
          ;         ;     ;
00 41 46.4;-56 30 06; 5.70; 0.20
00 43 28.1;+47 01 29; 4.94; 0.18
00 42 42.9;-38 27 48; 6.06;-0.03
00 42 41.8;-60 15 45; 5.98; 1.32
00 42 28.4;-65 28 05; 5.39; 0.50
00 43 35.4;-17 59 12; 2.04; 1.02
00 44 26.4;+47 51 51; 5.67;-0.12
00 43 50.2;-12 00 42; 6.02; 1.10
00 43 21.2;-57 27 47; 4.36; 0.00
00 45 39.0;+74 59 17; 5.66; 0.05
00 44 43.5;+48 17 04; 4.54;-0.07
00 44 11.4;-10 36 34; 4.76; 1.01
00 44 12.1;-38 25 18; 5.90; 1.16
00 45 17.2;+55 13 18; 5.42; 0.04
00 44 44.4;-22 00 22; 5.24; 0.33
00 44 57.1;-42 40 36; 5.94; 0.28
00 44 32.3;-62 29 52; 6.07; 0.44
00 46 39.0;+69 19 30; 6.33;
00 45 24.1;-04 37 45; 6.15; 1.62
00 45 00.0;-53 42 54; 6.15; 0.53
00 45 28.7;-12 52 51; 6.15; 0.61
00 46 15.1;+55 18 19; 6.52;
00 46 10.9;+44 51 41; 6.05;-0.07
00 45 41.7;-16 25 27; 6.47; 0.31
00 46 42.4;+59 34 28; 6.39; 1.09
00 47 46.1;+74 50 51; 5.41;-0.08
00 45 45.6;-47 33 06; 5.80; 0.64
00 46 11.8;-22 31 19; 5.50; 0.98
00 46 33.0;+15 28 32; 5.38; 1.65
00 48 09.1;+72 40 30; 5.87; 1.01
00 47 01.5;+11 58 26; 5.50; 0.97
00 47 13.6;+19 34 44; 6.13; 0.27
00 47 20.3;+24 16 02; 4.06; 1.12
00 47 23.6;+06 44 27; 5.99; 0.94
00 47 54.8;+20 55 31; 6.54; 0.50
00 47 43.3;-18 03 41; 5.70; 1.30
00 49 06.0;+57 48 57; 3.44; 0.57
00 48 01.1;-21 43 21; 5.57;-0.06
00 48 17.4;+07 18 00; 5.93; 1.10
00 48 23.0;+05 16 50; 5.75; 0.88
00 48 50.1;+50 58 06; 4.89;-0.11
00 48 41.0;+07 35 06; 4.43; 1.50
00 48 58.7;+16 56 26; 5.07; 0.51
00 49 48.8;+41 04 44; 4.53;-0.15
00 49 25.6;-13 33 41; 5.59; 1.30
00 49 13.9;-24 08 11; 5.90; 0.95
00 48 56.7;-46 41 52; 6.27; 0.90
00 49 52.8;+27 42 39; 7.00; 0.36
00 49 53.2;+27 42 37; 7.10;
00 49 33.4;-23 21 42; 6.28; 0.13
00 50 43.6;+64 14 51; 5.39; 0.49
00 50 18.3;+45 00 08; 6.15; 0.01
00 50 07.6;-10 38 40; 5.19; 0.50
